product_id,generic_product,product,price,num_of_ratings,avg_rating,image
B08N2FRMPN,Smartphone,"Samsung Electronics Samsung Galaxy S21 5G | Factory Unlocked Android Cell Phone | US Version 5G Smartphone | Pro-Grade Camera, 8K Video, 64MP High Res | 128GB, Phantom Gray (SM-G991UZAAXAA)",$799.99 ,110,4.4,https://images-na.ssl-images-amazon.com/images/I/61m1Dot5KCL._AC_SY355_.jpg
B08P4PBSK2,Smartphone,"Xiaomi POCO M3 Smartphone, 4 GB + 64 GB, 6.53 Pollici FHD + Ampio 1080P FHD + Display 52 MP, Tripla Fotocamera, 6000 mAh Batteria, Doppi Altoparlanti, Jack per Cuffie da 3.5 mm, Giallo",$162.48 ,248,4.3,https://images-na.ssl-images-amazon.com/images/I/61gQhjBgwBL._AC_SX522_.jpg
B08MWRCZL8,Smartphone,"Nokia 3.4 Unlocked Android Smartphone with 3/64 GB Memory, 6.39-Inch HD+ Screen, Triple Camera, and 2-Day Battery, Charcoal (AT&T/T-Mobile/Cricket/Tracfone/Simple Mobile/Mint/Ultra Mobile)",$149.00 ,40,3.8,https://images-na.ssl-images-amazon.com/images/I/61hB7i2DHFL._AC_SX522_.jpg
B087LY84RT,Smartphone,"TCL 10L, Unlocked Android Smartphone with 6.53"" FHD + LCD Display, 48MP Quad Rear Camera System, 64GB+6GB RAM, 4000mAh Battery - Arctic White",$174.99 ,"1,873",4.4,https://images-na.ssl-images-amazon.com/images/I/41QoqFsJbpL._AC_.jpg
B07SSCJHT1,Smartphone,"BLU Studio Mini -5.5HD Smartphone, 32GB+2GB Ram -Black",$69.99 ,"2,856",4,https://images-na.ssl-images-amazon.com/images/I/A1gUduSRYZL._AC_SY355_.jpg
B08NXMCW44,Smartphone,"Intelligent Mobile Phone,6.7IN 1440X3040 Fingerprint Unlock Dual Cards Dual Standby Smartphone,Face Unlock100‑240V 8+256GB(us Plug)",-1,-1,-1,https://images-na.ssl-images-amazon.com/images/I/611gb8jiI6L._AC_SY355_.jpg
B088NKZT13,Smartphone,(Free $20 Airtime Activation Promotion) TracFone Samsung Galaxy A01 4G LTE Prepaid Smartphone - Black - 16GB - Sim Card Included -CDMA,-1,"1,458",4.5,https://images-na.ssl-images-amazon.com/images/I/61ff%2BrZThyL._AC_SY550_.jpg
B08H8VZ6PV,Smartphone,Google Pixel 4a with 5G - Android Phone - New Unlocked Smartphone with Night Sight and Ultrawide Lens - Just Black,-1,"1,159",4.7,https://images-na.ssl-images-amazon.com/images/I/71C0OH4WfpL._AC_SX522_.jpg
B08R6GQKDR,Smartphone,"LG G8 ThinQ LMG820TM (128GB, 6GB RAM) 6.1"" 4G LTE Android Smartphone (Aurora Black, GSM Unlocked)",$349.00 ,219,4.3,https://images-na.ssl-images-amazon.com/images/I/61FDmTGuptL._AC_SX679_.jpg
B08BS55YDC,Smartphone,"Samsung Galaxy A01 (A015M) 32GB, Dual SIM, GSM Unlocked, 5.7” Display Smartphone - International Version - Black",$132.99 ,257,4.3,https://images-na.ssl-images-amazon.com/images/I/71HaAtf1kYL._AC_SX425_.jpg
B08M9R34QJ,Smartphone,Motorola Moto G9 Power Dual-SIM 128GB ROM + 4GB RAM (GSM Only | No CDMA) Factory Unlocked Android Smartphone (Electric Violet) - International Version,$228.62 ,8,4.7,https://images-na.ssl-images-amazon.com/images/I/81yFtoIcL2L._AC_SY355_.jpg
B08JRF9L15,Smartphone,"Nokia 2.4 Android 10 Unlocked Smartphone with 2/32 GB Memory, 6.5-Inch HD+ Screen, 2-Day Battery Life, Fingerprint Sensor and Google Assistant, Charcoal (AT&T/T-Mobile/Cricket/Tracfone/Simple Mobile)",$139.99 ,267,3.9,https://images-na.ssl-images-amazon.com/images/I/61sLvszoETL._AC_SX522_.jpg
B08SC6XVNQ,Smartphone,"Samsung Galaxy A12 (A125M) 64GB Dual SIM, GSM Unlocked, (CDMA Verizon/Sprint Not Supported) Smartphone Latin American Version No Warranty (Black)",$175.05 ,51,4.1,https://images-na.ssl-images-amazon.com/images/I/81t8kQP6OQL._AC_SX522_.jpg
B08FYTSXGQ,Smartphone,"Samsung Galaxy S20 FE 5G | Factory Unlocked Android Cell Phone | 128 GB | US Version Smartphone | Pro-Grade Camera, 30X Space Zoom, Night Mode | Cloud Navy",-1,"3,856",4.6,https://images-na.ssl-images-amazon.com/images/I/71RxOftVoQL._AC_SX569_.jpg
B08JQQHQXW,Smartphone,Motorola Moto E7 Plus XT2081-1 64GB Dual Sim GSM Unlocked Android Smartphone - Misty Blue,$164.99 ,192,4.3,https://images-na.ssl-images-amazon.com/images/I/61OX2lAjswL._AC_SX522_.jpg
B07XQHM1CV,Smartphone,"Samsung Galaxy A10s A107M - 32GB, 6.2"" HD+ Infinity-V Display, 13MP+2MP Dual Rear +8MP Front Cameras, GSM Unlocked Smartphone - Blue",$137.20 ,"8,062",4.3,https://images-na.ssl-images-amazon.com/images/I/51ME-ADMjRL._AC_SX522_.jpg
B08KNXXG2V,Smartphone,"Unlocked Cell Phones 5G WiFi 8 Core, Global 4G LTE, Unlocked Smartphone 6.5"" FHD Full Screen 2K, 6GB RAM+64GB ROM Android 10 Cell Phone, 16MP, Fingerprint Face Detection GPS, International Version",$140.99 ,22,3.5,https://images-na.ssl-images-amazon.com/images/I/71ME5kkStjL._AC_SX522_.jpg
B08JRF9L15,Smartphone,"Nokia 2.4 Android 10 Unlocked Smartphone with 2/32 GB Memory, 6.5-Inch HD+ Screen, 2-Day Battery Life, Fingerprint Sensor and Google Assistant, Charcoal (AT&T/T-Mobile/Cricket/Tracfone/Simple Mobile)",$139.99 ,267,3.9,https://images-na.ssl-images-amazon.com/images/I/61sLvszoETL._AC_SX522_.jpg
B088HJ2KKR,Smartphone,"Xiaomi Redmi Note 9 4GB RAM + 128GB, 48MP Quad Camera Hotshot, 5020mah Battery, 6.53 ”FHD +, LTE Factory Unlocked Smartphone - International Version (Polar White)",$194.50 ,"1,981",4.5,https://images-na.ssl-images-amazon.com/images/I/51utyH6VOiL._AC_SX522_.jpg
B08Z368RMZ,Smartphone,"Unlocked Rugged Cell Phone, OUKITEL WP10 5G Smartphone,8000mAh 8+128GB Battery Andriod Mobile Phones,48MP Sony Camera IP68 Waterproof 6.67 Inch FHD+ Global Dual Sim NFC GPS Face Fingerprint ID(Black)",$569.99 ,-1,-1,https://images-na.ssl-images-amazon.com/images/I/41sFvg9GrEL._AC_.jpg
B08L9MY937,Smartphone,Samsung - Galaxy A71 A716U 5G Fully Unlocked 128GB - Prism Cube Black (Renewed),$399.94 ,221,4.4,https://images-na.ssl-images-amazon.com/images/I/61B8AZrmgjL._AC_SY450_.jpg
B08JQ4L1LS,Smartphone,"OUKITEL WP5 Pro (2021) Rugged Smartphone, 8000mAh Battery 4GB +64GB Android 10 Unlocked Cell Phones IP68 Waterproof,Global Version Face ID Fingerprint ,black",$169.99 ,156,4.1,https://images-na.ssl-images-amazon.com/images/I/71MXEeb%2BzkL._AC_SY550_.jpg
B08MWRCZL8,Smartphone,"Nokia 3.4 Unlocked Android Smartphone with 3/64 GB Memory, 6.39-Inch HD+ Screen, Triple Camera, and 2-Day Battery, Charcoal (AT&T/T-Mobile/Cricket/Tracfone/Simple Mobile/Mint/Ultra Mobile)",$149.00 ,40,3.8,https://images-na.ssl-images-amazon.com/images/I/61hB7i2DHFL._AC_SX522_.jpg
B08H5SZKC9,Smartphone,T-Mobile REVVLRY+ Plus 64GB Moto XT1965-T T-Mobile Smartphone (Renewed),$111.99 ,38,4.3,https://images-na.ssl-images-amazon.com/images/I/4110C%2BAx6zL._AC_.jpg
B08NWDMR9N,Smartphone,Moto G Power | 2021 | 3-Day Battery | Unlocked | Made for US by Motorola | 3/32GB | 48MP Camera | Silver,$189.99 ,"7,993",4.6,https://images-na.ssl-images-amazon.com/images/I/61jKxwxAZFL._AC_SX522_.jpg
B08GL2HKLT,Smartphone,Moto G7 Plus | Unlocked | Made for US by Motorola | 4/64GB | 16MP Camera | 2019 | Black,$119.99 ,627,4.5,https://images-na.ssl-images-amazon.com/images/I/81N4XZjeBvL._AC_SY355_.jpg
B08B9SGGRS,Smartphone,Motorola Edge | Unlocked | Made for US by Motorola | 6/256GB | 64MP Camera | 2020 | Solor Black,$490.21 ,983,4,https://images-na.ssl-images-amazon.com/images/I/61aWtezBYlL._AC_SY355_.jpg
B08PKJK6XP,Smartphone,"Unlocked Smartphones, Blackview A80 Android 10 Smartphone, 6.21 inch HD + Screen, Four Rear Cameras, 2GB + 16GB, 4200 mAh Battery, 8.8 mm Smooth & Slim Design, Dual SIM Unlocked Cell Phone GPS Black",$109.99 ,30,3.8,https://images-na.ssl-images-amazon.com/images/I/61oZ5agP-XL._AC_SX522_.jpg
B084CVPLLC,Smartphone,Moto G Stylus | 2020 | Unlocked | Made for US by Motorola | 4/128GB | 48MP Camera | Indigo,$199.99 ,"4,221",4.5,https://images-na.ssl-images-amazon.com/images/I/71Swc5WsxrL._AC_SY355_.jpg
B088NKZT13,Smartphone,(Free $20 Airtime Activation Promotion) TracFone Samsung Galaxy A01 4G LTE Prepaid Smartphone - Black - 16GB - Sim Card Included -CDMA,-1,"1,458",4.5,https://images-na.ssl-images-amazon.com/images/I/61ff%2BrZThyL._AC_SY550_.jpg
B08C6XBCRT,Smartphone,BLU G90 Pro | 2021 | 3-Day Battery | Unlocked | US Version | US Warranty| 4/128GB | 48MP Camera | Purple Haze,$199.99 ,"1,304",4.5,https://images-na.ssl-images-amazon.com/images/I/81cwIdlEXwL._AC_SY355_.jpg
B086H4C8CX,Smartphone,Moto G Fast | 2020 | Unlocked | Made for US by Motorola | 3/32GB | 16MP Camera | White,$194.00 ,"2,362",4.6,https://images-na.ssl-images-amazon.com/images/I/81O2fXSlHCL._AC_SY355_.jpg
B08DHFX4FV,Television,"TCL 50-inch Class 4-Series 4K UHD Smart Roku LED TV - 50S435, 2021 Model",-1,"5,212",4.7,https://images-na.ssl-images-amazon.com/images/I/714hn7q7WxL._AC_SX355_.jpg
B088S3V3R4,Television,"TCL 32-inch 3-Series 720p Roku Smart TV - 32S335, 2021 Model",$148.00 ,"48,968",4.6,https://images-na.ssl-images-amazon.com/images/I/61ficuy07aL._AC_SY355_.jpg
B085LRHL3P,Television,Hisense 40-Inch 40H5500F Class H55 Series Android Smart TV with Voice Remote (2020 Model),$231.73 ,"4,153",4.3,https://images-na.ssl-images-amazon.com/images/I/61lJa-K8CqL._AC_SY355_.jpg
B08BCBJP71,Television,"VIZIO 40-Inch V-Series 4K UHD LED HDR Smart TV with Apple AirPlay and Chromecast Built-in, Dolby Vision, HDR10+, HDMI 2.1, Auto Game Mode and Low Latency Gaming",$305.47 ,652,4.3,https://images-na.ssl-images-amazon.com/images/I/81NCnG8UvYL._AC_SY355_.jpg
B07YXH57B8,Television,SAMSUNG 40 inches LED Smart FHD TV 1080P (2019 Model),-1,168,4.6,https://images-na.ssl-images-amazon.com/images/I/71Ao8Im97TL._AC_SY355_.jpg
B07CL4GLQW,Television,"Samsung Electronics UN32N5300AFXZA 32"" 1080p Smart LED TV (2018), Black",-1,"2,655",4.6,https://images-na.ssl-images-amazon.com/images/I/91UsHjAPTlL._AC_SX355_.jpg
B086XL48ZF,Television,LG Electronics 24LM530S-PU 24-Inch HD webOS 3.5 Smart TV,$148.00 ,915,4.5,https://images-na.ssl-images-amazon.com/images/I/91zmQQ6C09L._AC_SY355_.jpg
B08FSKX4M7,Television,"VIZIO 40"" Class V-Series 4K HDR Smart TV - V405-H (Renewed)",$239.99 ,135,4.3,https://images-na.ssl-images-amazon.com/images/I/41tzYgaiJXL._AC_SY355_.jpg
B07JVQY8W1,Television,"VIZIO 24-Inch D-Series LED HDTV  with Apple AirPlay and Chromecast Built in Screen Mirroring for Second Screens, & 150+ Free Streaming Channels (D24h-G9)",-1,232,4.4,https://images-na.ssl-images-amazon.com/images/I/81hxjH73qNL._AC_SY355_.jpg
B07Y5Q69JS,Television,"Vizio D-Series 24inch HD (720P) Smart LED TV, Smartcast + Chromecast Included - D24H-G9 (Renewed)",$129.90 ,515,4.3,https://images-na.ssl-images-amazon.com/images/I/51dWnINQ0FL._AC_SY355_.jpg
B08TV674C8,Television,"VIZIO 50-Inch M-Series Quantum 4K UHD LED HDR Smart TV with Apple AirPlay and Chromecast built-in, Dolby Vision, HDR10+, HDMI 2.1, Variable Refresh Rate & AMD FreeSync Gaming",-1,42,4.6,https://images-na.ssl-images-amazon.com/images/I/81l7F85GBYL._AC_SY355_.jpg
B084BNBLQS,Television,"Hisense 32-Inch Class H4 Series LED Roku Smart TV with Alexa Compatibility (32H4F, 2020 Model)",-1,"6,188",4.6,https://images-na.ssl-images-amazon.com/images/I/71gzlKauNQL._AC_SY355_.jpg
B082QVSXQM,Television,"Vizio D32F-G D-Series 32"" Class 1080p LED LCD Smart Full-Array LED LCD TV (2019 Model) (Renewed)",$174.99 ,"1,264",4.2,https://images-na.ssl-images-amazon.com/images/I/71EDcJ5oK4L._AC_SX355_.jpg
B088C4J8W7,Television,"Sansui 24-Inch 720p HD LED Smart TV (S24P28DN) with Built-in HDMI, USB, High Resolution, Digital Noise Reduction, Dolby Audio Bundle with Circuit City 6-Feet 4K HDMI Cable and Accessories",-1,223,4.1,https://images-na.ssl-images-amazon.com/images/I/71wWysVoOJL._AC_SY355_.jpg
B0813ZFQYF,Television,Element 24 pulgadas Class FH (720P) LED TV (Eleft2416) (Renewed),$85.99 ,37,4.1,https://images-na.ssl-images-amazon.com/images/I/51GZS2-LkNL._AC_SY355_.jpg
